"","Month","Year","Autonomous.Community","Relation","Victim.Age","Agressor.Age","Previous.Abuse.Report","Living.Together"
"354","February",2008,"Comunidad de Madrid","Partner","21-30 years","21-30 years","No","Yes"
"355","February",2008,"Comunidad de Madrid","Partner","41-50 years","41-50 years","No","Yes"
"356","March",2008,"Andalucía","Partner","51-64 years","51-64 years","No","Yes"
"357","March",2008,"Castilla y León","Partner","51-64 years","65-74 years","No","No"
"358","March",2008,"Cataluña","Ex-partner","21-30 years","21-30 years","No","No"
"359","March",2008,"Comunidad Valenciana","Partner","41-50 years","41-50 years","Yes","Yes"
"360","April",2008,"Aragón","Partner","21-30 years","21-30 years","No","Yes"
"361","April",2008,"Castilla - La Mancha","Ex-partner","31-40 years","31-40 years","Yes","No"
"362","April",2008,"Comunidad Valenciana","Ex-partner","18-20 years","31-40 years","Yes","No"
"363","April",2008,"Comunidad Valenciana","Partner","16-17 years","21-30 years","No","No"
"364","April",2008,"Comunidad de Madrid","Ex-partner","31-40 years","31-40 years","No","No"
"365","May",2008,"Andalucía","Ex-partner","65-74 years","75-84 years","Yes","No"
"366","May",2008,"Castilla y León","Partner","31-40 years","41-50 years","No","Yes"
"367","May",2008,"Cataluña","Ex-partner","31-40 years","31-40 years","No","No"
"368","June",2008,"Andalucía","Partner","75-84 years","75-84 years","No","Yes"
"369","June",2008,"Cataluña","Partner","51-64 years","41-50 years","No","Yes"
"370","June",2008,"Cataluña","Partner","21-30 years","31-40 years","No","Yes"
"371","June",2008,"Comunidad de Madrid","Ex-partner","31-40 years","31-40 years","Yes","No"
"372","June",2008,"La Rioja","Partner","21-30 years","31-40 years","No","Yes"
"373","July",2008,"Principado de Asturias","Ex-partner","31-40 years","41-50 years","No","No"
"374","July",2008,"Cataluña","Partner","31-40 years","31-40 years","No","No"
"375","July",2008,"Comunidad de Madrid","Ex-partner","31-40 years","41-50 years","No","No"
"376","July",2008,"Región de Murcia","Partner","31-40 years","41-50 years","No","Yes"
"377","July",2008,"La Rioja","Ex-partner","41-50 years","51-64 years","Yes","No"
"378","August",2008,"Canarias","Ex-partner","21-30 years","41-50 years","Yes","No"
"379","August",2008,"Castilla y León","Partner","18-20 years","18-20 years","No","No"
"380","August",2008,"Cataluña","Ex-partner","18-20 years","31-40 years","No","No"
"381","August",2008,"Comunidad Valenciana","Partner","41-50 years","31-40 years","No","Yes"
"382","August",2008,"Galicia","Partner","21-30 years","41-50 years","No","Yes"
"383","August",2008,"Comunidad de Madrid","Partner","51-64 years","51-64 years","No","Yes"
"384","August",2008,"Comunidad Foral de Navarra","Partner","51-64 years","75-84 years","No","Yes"
"385","August",2008,"País Vasco","Partner","65-74 years","65-74 years","No","Yes"
"386","September",2008,"Andalucía","Ex-partner","21-30 years","21-30 years","Yes","No"
"387","September",2008,"Islas Baleares","Partner","21-30 years","31-40 years","No","Yes"
"388","September",2008,"Castilla y León","Ex-partner","41-50 years","41-50 years","No","No"
"389","September",2008,"Castilla y León","Partner","21-30 years","21-30 years","No","No"
"390","September",2008,"Cataluña","Ex-partner","41-50 years","41-50 years","No","No"
"391","September",2008,"Comunidad Valenciana","Ex-partner","31-40 years","31-40 years","No","No"
"392","September",2008,"Comunidad de Madrid","Partner","65-74 years","65-74 years","No","Yes"
"393","October",2008,"Andalucía","Partner","31-40 years","31-40 years","No","No"
"394","October",2008,"Andalucía","Partner","31-40 years","31-40 years","No","No"
"395","October",2008,"Andalucía","Partner","41-50 years","41-50 years","Yes","No"
"396","October",2008,"Comunidad de Madrid","Partner","21-30 years","41-50 years","No","Yes"
"397","October",2008,"Región de Murcia","Partner","21-30 years","31-40 years","No","No"
"398","October",2008,"Comunidad Foral de Navarra","Ex-partner","41-50 years","51-64 years","Yes","No"
"399","October",2008,"País Vasco","Partner","21-30 years","31-40 years","No","Yes"
"400","November",2008,"Comunidad Valenciana","Partner","21-30 years","31-40 years","No","Yes"
"401","November",2008,"Galicia","Ex-partner","41-50 years","31-40 years","No","No"
"402","November",2008,"Galicia","Ex-partner","21-30 years","41-50 years","No","No"
"403","November",2008,"Galicia","Partner","51-64 years","51-64 years","No","Yes"
"404","November",2008,"Comunidad de Madrid","Partner","65-74 years","65-74 years","Yes","Yes"
"405","November",2008,"Región de Murcia","Ex-partner","41-50 years","75-84 years","No","No"
"406","December",2008,"Canarias","Partner","21-30 years","21-30 years","No","No"
"407","December",2008,"Canarias","Partner","21-30 years","31-40 years","No","Yes"
"408","December",2008,"Canarias","Partner","65-74 years","75-84 years","Yes","Yes"
"409","December",2008,"Castilla - La Mancha","Partner","21-30 years","21-30 years","No","No"
"410","December",2008,"Cataluña","Partner","31-40 years","31-40 years","Yes","No"
"411","December",2008,"Cataluña","Partner","51-64 years","51-64 years","Yes","Yes"
"412","December",2008,"Cataluña","Partner","41-50 years","51-64 years","No","Yes"
"413","December",2008,"Comunidad Valenciana","Partner","31-40 years","21-30 years","Yes","Yes"
"414","December",2008,"Galicia","Partner","51-64 years","65-74 years","No","Yes"
"415","December",2008,"Galicia","Partner","41-50 years","41-50 years","No","Yes"
"416","December",2008,"País Vasco","Partner","31-40 years","21-30 years","No","Yes"
"417","February",2009,"Andalucía","Ex-partner","51-64 years","65-74 years","No","No"
"418","February",2009,"Andalucía","Partner","31-40 years","31-40 years","No","No"
"419","February",2009,"Andalucía","Partner","21-30 years","21-30 years","Yes","Yes"
"420","February",2009,"Comunidad de Madrid","Partner","21-30 years","31-40 years","No","No"
"421","February",2009,"Comunidad de Madrid","Partner","31-40 years","31-40 years","No","No"
"422","March",2009,"Canarias","Ex-partner","31-40 years","41-50 years","No","No"
"423","March",2009,"Cataluña","Ex-partner","21-30 years","31-40 years","Yes","No"
"424","March",2009,"Comunidad Valenciana","Partner","41-50 years","41-50 years","Yes","Yes"
"425","March",2009,"Comunidad Valenciana","Partner","65-74 years","51-64 years","No","Yes"
"426","March",2009,"País Vasco","Partner","41-50 years","41-50 years","Yes","Yes"
"427","April",2009,"Andalucía","Partner","75-84 years","75-84 years","No","Yes"
"428","April",2009,"Extremadura","Partner","51-64 years","65-74 years","Yes","Yes"
"429","May",2009,"Andalucía","Partner","41-50 years","41-50 years","No","Yes"
"430","May",2009,"Canarias","Ex-partner","31-40 years","31-40 years","Yes","No"
"431","May",2009,"Canarias","Ex-partner","41-50 years","41-50 years","Yes","No"
"432","May",2009,"Cataluña","Ex-partner","18-20 years","21-30 years","No","No"
"433","May",2009,"Cataluña","Ex-partner","31-40 years","51-64 years","Yes","No"
"434","May",2009,"Cataluña","Partner","18-20 years","21-30 years","No","Yes"
"435","May",2009,"Comunidad Valenciana","Partner","18-20 years","21-30 years","No","Yes"
"436","May",2009,"Comunidad Valenciana","Partner","31-40 years","31-40 years","Yes","Yes"
"437","May",2009,"País Vasco","Partner","31-40 years","31-40 years","No","No"
"438","June",2009,"Canarias","Partner","51-64 years","51-64 years","No","No"
"439","June",2009,"Cataluña","Ex-partner","31-40 years","21-30 years","No","No"
"440","June",2009,"Comunidad Valenciana","Partner","31-40 years","41-50 years","No","Yes"
"441","June",2009,"Comunidad de Madrid","Partner","21-30 years","21-30 years","Yes","Yes"
"442","June",2009,"Comunidad de Madrid","Partner","75-84 years","75-84 years","No","Yes"
"443","July",2009,"Andalucía","Partner","51-64 years","51-64 years","No","Yes"
"444","July",2009,"Andalucía","Partner","51-64 years","51-64 years","No","Yes"
"445","July",2009,"Castilla - La Mancha","Partner","31-40 years","21-30 years","Yes","No"
"446","July",2009,"Galicia","Ex-partner","31-40 years","41-50 years","No","No"
"447","July",2009,"Región de Murcia","Partner","41-50 years","65-74 years","No","Yes"
"448","July",2009,"Ceuta","Partner","21-30 years","31-40 years","No","Yes"
"449","August",2009,"Andalucía","Partner","65-74 years","65-74 years","No","Yes"
"450","August",2009,"Cataluña","Partner","21-30 years","18-20 years","No","Yes"
"451","August",2009,"Cataluña","Partner","41-50 years","41-50 years","No","Yes"
"452","August",2009,"Galicia","Partner","75-84 years","75-84 years","No","Yes"
"453","August",2009,"Galicia","Ex-partner","18-20 years","31-40 years","Yes","No"
"454","August",2009,"Región de Murcia","Partner","21-30 years","31-40 years","No","Yes"
"455","September",2009,"Andalucía","Ex-partner","41-50 years","51-64 years","No","No"
"456","September",2009,"Canarias","Partner","31-40 years","31-40 years","No","Yes"
"457","September",2009,"Castilla y León","Partner","21-30 years","21-30 years","Yes","No"
"458","September",2009,"Cataluña","Partner","21-30 years","31-40 years","Yes","Yes"
"459","September",2009,"Comunidad Valenciana","Partner","31-40 years","41-50 years","No","Yes"
"460","September",2009,"Comunidad Valenciana","Partner","31-40 years","31-40 years","No","Yes"
"461","October",2009,"Andalucía","Partner","51-64 years","65-74 years","No","Yes"
"462","October",2009,"Andalucía","Ex-partner","21-30 years","21-30 years","No","No"
"463","October",2009,"Islas Baleares","Partner","31-40 years","41-50 years","No","Yes"
"464","October",2009,"Cataluña","Partner","31-40 years","31-40 years","No","Yes"
"465","October",2009,"Cataluña","Partner","41-50 years","51-64 years","No","Yes"
"466","October",2009,"Comunidad Valenciana","Partner","51-64 years","65-74 years","No","Yes"
"467","November",2009,"La Rioja","Ex-partner","31-40 years","31-40 years","No","No"
"468","December",2009,"Andalucía","Partner","65-74 years","65-74 years","No","Yes"
"469","December",2009,"Andalucía","Partner","41-50 years","21-30 years","No","Yes"
"470","December",2009,"Andalucía","Partner","21-30 years","21-30 years","No","Yes"
"471","December",2009,"Comunidad Valenciana","Partner","75-84 years",">85 years","No","Yes"
"472","December",2009,"Comunidad de Madrid","Ex-partner","18-20 years","31-40 years","No","No"
"473","January",2010,"Andalucía","Partner","41-50 years","51-64 years","No","Yes"
"474","January",2010,"Islas Baleares","Partner","41-50 years","51-64 years","No","Yes"
"475","January",2010,"Comunidad de Madrid","Ex-partner","31-40 years","31-40 years","No","No"
"476","February",2010,"Andalucía","Partner","21-30 years","31-40 years","No","Yes"
"477","February",2010,"Principado de Asturias","Partner","51-64 years","51-64 years","No","Yes"
"478","February",2010,"Cataluña","Partner","31-40 years","41-50 years","Yes","Yes"
"479","February",2010,"Comunidad de Madrid","Partner","21-30 years","31-40 years","No","Yes"
"480","March",2010,"Andalucía","Partner","41-50 years","41-50 years","No","Yes"
"481","March",2010,"Andalucía","Ex-partner","51-64 years","51-64 years","Yes","No"
"482","March",2010,"Canarias","Ex-partner","31-40 years","65-74 years","No","No"
"483","March",2010,"Castilla y León","Ex-partner","21-30 years","31-40 years","No","No"
"484","March",2010,"Castilla y León","Partner","51-64 years","51-64 years","No","No"
"485","March",2010,"Cataluña","Partner","31-40 years","31-40 years","No","Yes"
"486","March",2010,"Comunidad Valenciana","Partner","51-64 years","65-74 years","No","Yes"
"487","April",2010,"Andalucía","Ex-partner","51-64 years","75-84 years","No","No"
"488","April",2010,"Aragón","Partner","21-30 years","41-50 years","Yes","Yes"
"489","April",2010,"Principado de Asturias","Partner","41-50 years","31-40 years","No","Yes"
"490","April",2010,"Principado de Asturias","Partner","51-64 years","51-64 years","No","Yes"
"491","April",2010,"Castilla y León","Partner","51-64 years","51-64 years","No","Yes"
"492","April",2010,"Comunidad Valenciana","Ex-partner","21-30 years","31-40 years","Yes","No"
"493","April",2010,"Comunidad Valenciana","Partner","51-64 years","41-50 years","Yes","Yes"
"494","April",2010,"Comunidad de Madrid","Partner","21-30 years","31-40 years","No","Yes"
"495","May",2010,"Andalucía","Ex-partner","31-40 years","31-40 years","No","No"
"496","May",2010,"Andalucía","Partner","41-50 years","31-40 years","No","Yes"
"497","May",2010,"Canarias","Partner","31-40 years","31-40 years","No","Yes"
"498","May",2010,"Cataluña","Partner","31-40 years","31-40 years","No","Yes"
"499","May",2010,"Cataluña","Partner","41-50 years","51-64 years","No","Yes"
"500","May",2010,"Región de Murcia","Partner","65-74 years","51-64 years","No","Yes"
"501","June",2010,"Andalucía","Partner","31-40 years","31-40 years","No","Yes"
"502","June",2010,"Principado de Asturias","Partner","51-64 years","51-64 years","No","Yes"
"503","June",2010,"Canarias","Partner","41-50 years","41-50 years","Yes","Yes"
"504","June",2010,"Cataluña","Partner","31-40 years","51-64 years","No","No"
"505","June",2010,"Comunidad Valenciana","Ex-partner","51-64 years","51-64 years","No","No"
"506","July",2010,"Andalucía","Partner","51-64 years","65-74 years","No","No"
"507","July",2010,"Andalucía","Ex-partner","41-50 years","65-74 years","Yes","No"
"508","July",2010,"Aragón","Partner","41-50 years","41-50 years","No","No"
"509","July",2010,"Canarias","Partner","21-30 years","31-40 years","No","No"
"510","July",2010,"Canarias","Partner","31-40 years","31-40 years","No","Yes"
"511","July",2010,"Canarias","Partner","41-50 years","51-64 years","No","Yes"
"512","July",2010,"Castilla - La Mancha","Partner","31-40 years","41-50 years","Yes","Yes"
"513","July",2010,"Castilla - La Mancha","Partner","65-74 years","75-84 years","No","Yes"
"514","July",2010,"Cataluña","Partner","21-30 years","31-40 years","Yes","Yes"
"515","July",2010,"País Vasco","Partner","31-40 years","41-50 years","Yes","Yes"
"516","August",2010,"Cataluña","Partner","41-50 years","31-40 years","Yes","Yes"
"517","August",2010,"Galicia","Partner","41-50 years","41-50 years","No","Yes"
"518","September",2010,"Andalucía","Ex-partner","31-40 years","41-50 years","No","No"
"519","September",2010,"Andalucía","Partner","21-30 years","31-40 years","No","Yes"
"520","September",2010,"Principado de Asturias","Ex-partner","21-30 years","21-30 years","Yes","No"
"521","September",2010,"Castilla y León","Partner","41-50 years","41-50 years","Yes","No"
"522","September",2010,"Cataluña","Partner","21-30 years","31-40 years","No","Yes"
"523","September",2010,"Cataluña","Ex-partner","31-40 years","31-40 years","No","No"
"524","September",2010,"Comunidad Valenciana","Ex-partner","31-40 years","41-50 years","Yes","No"
"525","September",2010,"Galicia","Ex-partner","31-40 years","51-64 years","No","No"
"526","October",2010,"Andalucía","Partner","31-40 years","51-64 years","No","Yes"
"527","October",2010,"Andalucía","Partner","75-84 years","75-84 years","No","Yes"
"528","October",2010,"Cataluña","Partner","41-50 years","41-50 years","No","Yes"
"529","October",2010,"Cataluña","Partner","21-30 years","31-40 years","Yes","No"
"530","October",2010,"Comunidad Valenciana","Partner","51-64 years","51-64 years","No","Yes"
"531","October",2010,"Comunidad de Madrid","Partner","41-50 years","51-64 years","No","Yes"
"532","November",2010,"Andalucía","Partner","31-40 years","41-50 years","Yes","Yes"
"533","November",2010,"Andalucía","Partner","31-40 years","31-40 years","Yes","Yes"
"534","November",2010,"Islas Baleares","Partner","41-50 years",">85 years","No","No"
"535","November",2010,"Canarias","Partner","31-40 years","31-40 years","Yes","Yes"
"536","November",2010,"Comunidad Valenciana","Partner","51-64 years","41-50 years","No","No"
"537","November",2010,"Comunidad de Madrid","Ex-partner","16-17 years","18-20 years","No","No"
"538","November",2010,"Comunidad de Madrid","Partner","75-84 years","75-84 years","No","Yes"
"539","December",2010,"Andalucía","Partner","21-30 years","21-30 years","No","Yes"
"540","December",2010,"Castilla - La Mancha","Partner","21-30 years","21-30 years","Yes","Yes"
"541","December",2010,"Cataluña","Partner","41-50 years","31-40 years","No","Yes"
"542","December",2010,"Comunidad Valenciana","Ex-partner","21-30 years","21-30 years","Yes","No"
"543","December",2010,"Extremadura","Partner","41-50 years","51-64 years","Yes","Yes"
"544","December",2010,"Comunidad de Madrid","Partner","31-40 years","41-50 years","No","Yes"
"545","December",2010,"País Vasco","Ex-partner","21-30 years","21-30 years","Yes","No"
"546","January",2011,"Andalucía","Partner","21-30 years","31-40 years","No","Yes"
"547","January",2011,"Andalucía","Partner","41-50 years","41-50 years","Yes","No"
"548","January",2011,"Islas Baleares","Partner","65-74 years",">85 years","No","Yes"
"549","January",2011,"Canarias","Partner","51-64 years","41-50 years","No","Yes"
"550","January",2011,"Castilla y León","Partner","41-50 years","51-64 years","No","Yes"
"551","January",2011,"Castilla - La Mancha","Partner","41-50 years","41-50 years","No","Yes"
"552","January",2011,"Comunidad de Madrid","Partner","51-64 years","41-50 years","No","Yes"
"553","January",2011,"Región de Murcia","Partner","31-40 years","51-64 years","No","Yes"
"554","February",2011,"Andalucía","Partner","41-50 years","31-40 years","No","Yes"
"555","February",2011,"Andalucía","Partner","31-40 years","41-50 years","Yes","No"
"556","February",2011,"Cataluña","Ex-partner","21-30 years","21-30 years","No","No"
"557","February",2011,"Cataluña","Partner","41-50 years","31-40 years","Yes","Yes"
"558","February",2011,"Comunidad Valenciana","Partner","31-40 years","65-74 years","No","Yes"
"559","March",2011,"Andalucía","Partner","51-64 years","51-64 years","No","Yes"
"560","March",2011,"Andalucía","Ex-partner","41-50 years","41-50 years","Yes","No"
"561","March",2011,"Comunidad de Madrid","Partner","51-64 years","51-64 years","Yes","No"
"562","April",2011,"Comunidad Valenciana","Partner","21-30 years","41-50 years","No","Yes"
"563","April",2011,"Comunidad de Madrid","Partner","18-20 years","21-30 years","No","Yes"
"564","April",2011,"Comunidad Foral de Navarra","Ex-partner","21-30 years","21-30 years","No","No"
"565","May",2011,"Andalucía","Ex-partner","21-30 years","41-50 years","No","No"
"566","May",2011,"Andalucía","Partner","21-30 years","31-40 years","No","No"
"567","May",2011,"Andalucía","Partner","21-30 years","21-30 years","No","Yes"
"568","May",2011,"Cataluña","Partner","31-40 years","41-50 years","No","Yes"
"569","May",2011,"Cataluña","Ex-partner","65-74 years","75-84 years","Yes","No"
"570","May",2011,"Galicia","Ex-partner","18-20 years","21-30 years","No","No"
"571","May",2011,"Comunidad de Madrid","Ex-partner","41-50 years","41-50 years","Yes","Yes"
"572","May",2011,"Comunidad de Madrid","Partner","41-50 years","31-40 years","No","Yes"
"573","June",2011,"Principado de Asturias","Partner","51-64 years","65-74 years","No","Yes"
"574","June",2011,"Comunidad Valenciana","Partner","75-84 years","75-84 years","No","Yes"
"575","July",2011,"Andalucía","Partner","18-20 years","21-30 years","No","No"
"576","July",2011,"Aragón","Partner","21-30 years","21-30 years","No","Yes"
"577","July",2011,"Cataluña","Partner","21-30 years","21-30 years","Yes","Yes"
"578","July",2011,"Comunidad Valenciana","Partner","21-30 years","51-64 years","No","Yes"
"579","July",2011,"Comunidad Valenciana","Partner","21-30 years","31-40 years","Yes","Yes"
"580","July",2011,"Comunidad de Madrid","Partner","31-40 years","51-64 years","Yes","Yes"
"581","July",2011,"País Vasco","Ex-partner","51-64 years","41-50 years","Yes","No"
"582","August",2011,"Castilla y León","Partner","41-50 years","51-64 years","No","No"
"583","August",2011,"Comunidad de Madrid","Partner","65-74 years","65-74 years","No","Yes"
"584","August",2011,"Región de Murcia","Partner","65-74 years","75-84 years","No","Yes"
